nr,type,value,idvisit
2,pageidaction,6,1
2,pageidaction,10,2
2,pageidaction,NA,3
2,pageidaction,10,4
2,pageidaction,123,5
2,pageidaction,11,6
2,pageidaction,NA,7
2,pageidaction,NA,8
2,pageidaction,NA,9
2,pageidaction,NA,10
2,pageidaction,NA,11
2,pageidaction,10,12
2,pageidaction,7,13
2,pageidaction,NA,14
2,pageidaction,16,15
2,pageidaction,214,16
2,pageidaction,254,17
2,pageidaction,NA,18
2,pageidaction,254,19
2,pageidaction,NA,20
2,pageidaction,NA,21
2,pageidaction,2,22
2,pageidaction,NA,23
2,pageidaction,251,24
2,pageidaction,256,25
2,pageidaction,NA,26
2,pageidaction,NA,27
2,pageidaction,NA,28
2,pageidaction,NA,29
2,pageidaction,NA,30
2,pageidaction,NA,31
2,pageidaction,NA,32
2,pageidaction,NA,33
2,pageidaction,NA,34
2,pageidaction,NA,35
2,pageidaction,263,36
2,pageidaction,NA,37
2,pageidaction,NA,38
2,pageidaction,252,39
2,pageidaction,344,40
2,pageidaction,366,41
2,pageidaction,323,42
2,pageidaction,NA,43
2,pageidaction,NA,44
2,pageidaction,NA,45
2,pageidaction,3,46
2,pageidaction,NA,47
2,pageidaction,NA,48
2,pageidaction,368,49
2,pageidaction,256,50
2,pageidaction,NA,51
2,pageidaction,6,52
2,pageidaction,NA,53
2,pageidaction,2,54
2,pageidaction,NA,55
2,pageidaction,NA,56
2,pageidaction,3,57
2,pageidaction,NA,58
2,pageidaction,NA,59
2,pageidaction,NA,60
2,pageidaction,324,61
2,pageidaction,6,62
2,pageidaction,NA,63
2,pageidaction,NA,64
2,pageidaction,6,65
2,pageidaction,NA,66
2,pageidaction,10,67
2,pageidaction,NA,68
2,pageidaction,16,69
2,pageidaction,NA,70
2,pageidaction,344,71
2,pageidaction,NA,72
2,pageidaction,NA,73
2,pageidaction,325,74
2,pageidaction,NA,75
2,pageidaction,NA,76
2,pageidaction,3,77
2,pageidaction,3,77
2,pageidaction,344,78
2,pageidaction,344,78
2,pageidaction,NA,79
2,pageidaction,NA,79
2,pageidaction,344,80
2,pageidaction,344,80
2,pageidaction,NA,81
2,pageidaction,NA,81
2,pageidaction,NA,82
2,pageidaction,NA,82
2,pageidaction,343,83
2,pageidaction,343,83
2,pageidaction,NA,84
2,pageidaction,NA,84
2,pageidaction,3,85
2,pageidaction,3,85
2,pageidaction,3,86
2,pageidaction,3,86
2,pageidaction,343,87
2,pageidaction,343,87
2,pageidaction,343,88
2,pageidaction,343,88
2,pageidaction,2,89
2,pageidaction,2,89
2,pageidaction,343,90
2,pageidaction,343,90
2,pageidaction,343,91
2,pageidaction,343,91
2,pageidaction,3,92
2,pageidaction,3,92
2,pageidaction,343,93
2,pageidaction,343,93
2,pageidaction,344,94
2,pageidaction,344,94
2,pageidaction,3,95
2,pageidaction,3,95
2,pageidaction,NA,96
2,pageidaction,NA,96
2,pageidaction,3,97
2,pageidaction,3,97
2,pageidaction,2,98
2,pageidaction,2,98
2,pageidaction,NA,99
2,pageidaction,NA,99
2,pageidaction,344,100
2,pageidaction,344,100
2,pageidaction,343,101
2,pageidaction,343,101
2,pageidaction,3,102
2,pageidaction,3,102
2,pageidaction,343,103
2,pageidaction,343,103
2,pageidaction,343,104
2,pageidaction,343,104
2,pageidaction,343,105
2,pageidaction,343,105
2,pageidaction,343,106
2,pageidaction,343,106
2,pageidaction,NA,107
2,pageidaction,NA,107
2,pageidaction,343,108
2,pageidaction,343,108
2,pageidaction,NA,109
2,pageidaction,NA,109
2,pageidaction,343,110
2,pageidaction,343,110
2,pageidaction,3,111
2,pageidaction,3,111
2,pageidaction,344,112
2,pageidaction,344,112
2,pageidaction,343,113
2,pageidaction,343,113
2,pageidaction,339,114
2,pageidaction,339,114
2,pageidaction,343,115
2,pageidaction,343,115
2,pageidaction,343,116
2,pageidaction,343,116
2,pageidaction,343,117
2,pageidaction,343,117
2,pageidaction,NA,118
2,pageidaction,NA,118
2,pageidaction,343,119
2,pageidaction,343,119
2,pageidaction,343,120
2,pageidaction,343,120
2,pageidaction,344,121
2,pageidaction,344,121
2,pageidaction,3,122
2,pageidaction,3,122
2,pageidaction,343,123
2,pageidaction,343,123
2,pageidaction,344,124
2,pageidaction,344,124
2,pageidaction,343,125
2,pageidaction,343,125
2,pageidaction,344,126
2,pageidaction,344,126
2,pageidaction,344,127
2,pageidaction,344,127
2,pageidaction,343,128
2,pageidaction,343,128
2,pageidaction,344,129
2,pageidaction,344,129
2,pageidaction,344,130
2,pageidaction,344,130
2,pageidaction,2,131
2,pageidaction,2,131
2,pageidaction,344,132
2,pageidaction,344,132
2,pageidaction,3,133
2,pageidaction,3,133
2,pageidaction,NA,134
2,pageidaction,NA,134
2,pageidaction,344,135
2,pageidaction,344,135
2,pageidaction,3,136
2,pageidaction,3,136
2,pageidaction,3,137
2,pageidaction,3,137
2,pageidaction,247,138
2,pageidaction,247,138
2,pageidaction,NA,139
2,pageidaction,NA,139
2,pageidaction,NA,140
2,pageidaction,NA,140
2,pageidaction,10,141
